Date	        Open	High	Low	Close	Volume
5/5/2014	59.71	61.35	59.18	61.22	45833389
5/2/2014	61.39	61.89	60.18	60.46	53942899
5/1/2014	60.42	62.28	60.21	61.15	82273178
4/30/2014	57.56	59.85	57.16	59.78	75508939
4/29/2014	56.08	58.28	55.84	58.15	75177466
4/28/2014	58.09	58.31	54.66	56.14	107485084
4/25/2014	59.98	60.01	57.57	57.71	92108532
4/24/2014	63.59	63.65	59.77	60.87	138547218
4/23/2014	63.43	63.48	61.26	61.36	86451911
4/22/2014	62.75	63.44	62.22	63.0301	60180264
4/21/2014	59.47	61.24	59.15	61.24	59838212
4/17/2014	59.27	60.58	58.72	58.94	87880603
4/16/2014	59.81	60.19	57.74	59.72	78197945
4/15/2014	59.29	59.68	55.88	59.09	108415391
4/14/2014	60.15	60.45	57.78	58.89	72253635
4/11/2014	57.64	60.31	57.31	58.53	91276811
4/10/2014	63.09	63.18	58.68	59.16	114760052
4/9/2014	59.63	62.46	59.19	62.41	100011100
4/8/2014	57.68	58.71	57.17	58.19	78746900
4/7/2014	55.9	58	55.44	56.95	108337900
4/4/2014	59.94	60.2	56.32	56.75	125214400
4/3/2014	62.55	63.17	59.13	59.49	83683000
4/2/2014	63.21	63.91	62.21	62.72	66165100
4/1/2014	60.46	62.66	60.24	62.62	59124800
3/31/2014	60.78	61.52	59.87	60.24	52927400
3/28/2014	61.34	61.95	59.34	60.01	66924900
3/27/2014	60.51	61.9	57.98	60.97	112650000
3/26/2014	64.74	64.95	60.37	60.39	97503900
3/25/2014	64.89	66.19	63.78	64.89	68786000
3/24/2014	67.19	67.36	63.36	64.1	85696000
3/21/2014	67.53	67.92	66.18	67.24	60041000
3/20/2014	68.01	68.23	66.82	66.97	44439000
3/19/2014	69.17	69.29	67.47	68.24	43981000
3/18/2014	68.76	69.6	68.3	69.19	40827000
3/17/2014	68.18	68.95	66.62	68.74	52197000
3/14/2014	68.49	69.43	67.46	67.72	48227000
3/13/2014	71.29	71.35	68.15	68.83	57091000
3/12/2014	69.86	71.35	69	70.88	46400000
3/11/2014	72.5	72.59	69.96	70.1	59615000
3/10/2014	70.77	72.15	70.51	72.03	59871600
3/7/2014	71.08	71.18	69.47	69.8	38927000
3/6/2014	71.88	71.89	70.25	70.84	46026500
3/5/2014	69.69	71.97	69.62	71.57	74567700
3/4/2014	68.66	68.9	67.62	68.8	42013500
3/3/2014	66.96	68.05	66.51	67.41	56824100
2/28/2014	69.47	69.88	67.38	68.46	66783700
2/27/2014	69.34	70.01	68.87	68.94	41653700
2/26/2014	70.19	71.22	68.85	69.26	55322700
2/25/2014	70.95	71	69.45	69.85	52077000
2/24/2014	68.74	71.44	68.54	70.78	76620300
2/21/2014	69.69	69.96	68.45	68.59	70932400
2/20/2014	67.73	70.11	65.73	69.63	130928900
2/19/2014	67.05	69.08	67	68.06	62087100
2/18/2014	66.94	67.54	66.07	67.3	43809900
2/14/2014	67.5	67.58	66.72	67.09	36694900
2/13/2014	64.18	67.33	64.05	67.33	61911700
2/12/2014	64.92	65.06	64.05	64.45	47282100
2/11/2014	63.75	65	63.35	64.85	45675600
2/10/2014	64.3	64.49	63.47	63.55	43666100
2/7/2014	62.27	64.57	62.22	64.32	60704300
2/6/2014	61.46	62.78	61.46	62.16	42086500
2/5/2014	62.74	63.16	61.27	62.19	51685100
2/4/2014	62.05	63.14	61.82	62.75	45985500
2/3/2014	63.03	63.77	60.7	61.48	74866600
1/31/2014	60.47	63.37	60.17	62.57	87794600
1/30/2014	62.12	62.5	60.46	61.08	150178900
1/29/2014	54.61	54.95	53.19	53.53	92995600
1/28/2014	54.02	55.28	54	55.14	48191200
1/27/2014	54.73	54.94	51.85	53.55	73924100
1/24/2014	56.15	56.42	54.4	54.45	55200700
1/23/2014	56.37	56.68	55.69	56.63	47951800
1/22/2014	58.85	59.31	57.1	57.51	61352900
1/21/2014	56.6	58.58	56.5	58.51	48669200
1/17/2014	57.3	57.82	56.07	56.3	40849200
1/16/2014	57.26	58.02	56.83	57.19	34541800
1/15/2014	57.98	58.57	57.27	57.6	33663400
1/14/2014	56.46	57.78	56.1	57.74	37503600
1/13/2014	57.91	58.25	55.38	55.91	63010900
1/10/2014	57.13	58.3	57.06	57.94	42449500
1/9/2014	58.65	58.96	56.65	57.22	92253300
1/8/2014	57.6	58.41	57.23	58.23	56682400
1/7/2014	57.7	58.55	57.22	57.92	77207400
1/6/2014	54.42	57.26	54.05	57.2	68852600
1/3/2014	55.02	55.65	54.53	54.56	38246200
1/2/2014	54.83	55.22	54.19	54.71	43195500
12/31/2013	54.12	54.86	53.91	54.65	43076200
12/30/2013	54.93	55.18	53.43	53.71	68307000
12/27/2013	57.48	57.68	55.25	55.44	60466000
12/26/2013	58.32	58.38	57.37	57.73	55101000
12/24/2013	58.27	58.58	56.91	57.96	46617800
12/23/2013	55.5	58.32	55.45	57.77	98297000
12/20/2013	54.93	55.15	54.23	55.12	239824000
12/19/2013	54.33	55.19	53.95	55.05	89825000
12/18/2013	54.86	55.89	53.75	55.57	76003000
12/17/2013	54.76	55.18	54.24	54.86	78751000
12/16/2013	53.25	54.5	52.91	53.81	85119000
12/13/2013	51.66	53.5	51.34	53.32	82641000
12/12/2013	51.05	52.07	50.66	51.83	92723000
12/11/2013	50.55	50.77	49.01	49.38	65776000
12/10/2013	48.64	50.77	48.54	50.25	68479000
12/9/2013	48.09	48.97	47.74	48.84	36056000
12/6/2013	48.98	49.39	47.71	47.94	42938000
12/5/2013	48.15	48.7	47.87	48.34	43855000
12/4/2013	46.46	48.77	46.26	48.62	60489500
12/3/2013	46.75	47.2	46.29	46.73	32086000
12/2/2013	46.9	47.54	46.26	47.06	50774000
11/29/2013	46.75	47.21	46.5	47.01	22953900
11/27/2013	45.97	46.67	45.53	46.49	44993000
11/26/2013	44.66	46.17	43.55	45.89	82016000
11/25/2013	46.36	46.65	44.04	44.82	82565000
11/22/2013	47.04	47.27	45.96	46.23	40545000
11/21/2013	46.99	47.46	46.69	46.7	34886000
11/20/2013	46.61	47.55	46.31	46.43	53933000
11/19/2013	46.26	47	45.72	46.36	75602000
11/18/2013	48.47	48.84	45.8	45.83	85910000
11/15/2013	49.11	49.48	48.71	49.01	42453000
11/14/2013	48.7	49.57	48.03	48.99	75117000
11/13/2013	46.23	48.74	46.06	48.71	79245000
11/12/2013	46	47.37	45.83	46.61	68196000
